,,,,selected actions to define load quantification parameters and muscle groups to apply loads,,,movement characterization to select action,,,,quantity of stabilization intensity,,,quantity of power intensity,,,,,,,,,,,,,,,
fathom_name,soflete_name,description,,primary_actions,secondary_actions,,training_type,cardio_action,external_weight,,surface_stability,external weight implement,,explosiveness,,youtube_link,equipment,body_position,metrics,tags,sections,strength,endurance,power,number of training types assigned,,id,weight_label,Does not have weight
,Single Leg Glute Bridge Hold,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=nYJNZwm1tPY,,,Seconds; Reps; Time,['body position: single leg standing'],warm-up/movement prep; accessory work; strength work; strength 1; warm-up; accessory work 3; warm up/movement prep; strength; neuro adaptation; correctives; warm-up / movement prep; accessory work 1,1,0,0,1,870,5967a180332cef000f6764c2,Weight (Actual),
,Single Leg Goblet Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=GoynzUA-zlw,,,Reps,"['body position: single leg standing', 'basic_functional_movement: squat']",accessory work; strength 2; strength 3,1,0,0,1,812,590cd86f8a676e000f1c7e07,Weight (Actual),
,Single Leg Good Morning,,,,,,strength_integrated_resistance,,,,,,,,,https://youtube.com/watch?v=pqJHqIqGbac,,,Reps,['body position: single leg standing'],warm-up/movement prep; accessory work; accessory work 2; strength 1; strength 3; warm-up; strength 4; strength 2; mobility work; warm-up / movement prep,1,0,0,1,653,5884e71bf8fcd2000f909e89,Weight (Actual),
,Single Leg Half Kneeling Landmine RDL with Upper Body Reach,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/cCvQant9udY,,,Reps,"['olympic_lift: romanian deadlift', 'body position: kneeling', 'body position: single leg standing']",warm-up/movement prep; warm-up / movement prep; warm-up/movement prep (franco 4.1),0,0,0,0,1629,5c4f3d8de96fe0000ffbad61,Weight (Actual),
,Single Leg Hamstring Bridge,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/vfFUqJ3sn88,,,Reps,['body position: single leg standing'],strength 3,1,0,0,1,1503,5bec3e91cb07e9000fc95e6d,Weight (Actual),
,Single Leg Hamstring Eccentric Slide,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/_eDSh_xJeCU,,,Reps,['body position: single leg standing'],strength 2,1,0,0,1,1947,5d5dd6e8ebe7d40011cc41ec,#N/A,
,Single Leg Hip Bridge,,,,,,strength_endurance,,,,,,,,,https://www.youtube.com/watch?v=dHsBrW9EgmI,,bridge,Reps,['body position: single leg standing'],warm-up/movement prep; accessory work; strength work; strength 1; trunk work; recovery protocol; correctives; warm-up / movement prep; stamina,1,1,0,2,419,57e2fd3b4c6a031dc777e9dd,#N/A,
,Single Leg Hip Extension,,,,,,,,,,,,,,,https://youtu.be/Mu_JzlfQwfM?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,,,Reps,"['body position: single leg standing', 'movement direction - plane: sagittal']",recovery; accessory work; assistance work; accessory work 2,0,0,0,0,627,5880fb539f4d4d000f6e05e9,Weight (Actual),
,Single Leg Hurdle Jump,,,,,,power_action_plyometrics,,,,,,,,,https://youtu.be/D9_E9Y0i3mI,,,Reps,"['body position: single leg standing', 'basic_functional_movement: jump']",stamina 1,0,1,0,1,1703,5c75b12acbe0590011722a46,#N/A,
,Single Leg Kick with Board,,,,,,,,,,,,,,,https://youtu.be/UuxBSue_R2A,,,Yards,['body position: single leg standing'],stroke skill - technical focus; stroke skill 2,0,0,0,0,1907,5d27be8ce5e33500194ebdfb,#N/A,
,Single Leg Landmine RDL,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=u87t_DuYDOU,,,Reps,"['olympic_lift: romanian deadlift', 'body position: single leg standing']",warm-up/movement prep; accessory work; strength 1; strength 3; strength 2; warm up/movement prep; warm-up / movement prep; accessory work 1,1,0,0,1,825,592872fbd8d39b000f7057a2,Weight (Actual),
,Single Leg Landmine RDL with Upper Body Reach,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/OKoMNah1-pA,,,Reps,"['olympic_lift: romanian deadlift', 'body position: single leg standing']",warm-up/movement prep; warm-up / movement prep; accessory work,0,0,0,0,1628,5c4f3d43e96fe0000ffbad2d,Weight (Actual),
,Single Leg Landmine Twist,,,,,,,,,,,,,,,https://youtu.be/GBA1UFbT2e8,,,Reps,['body position: single leg standing'],accessory work,0,0,0,0,1556,5c1895259eb3da000f10e343,Weight (Actual),
,Single Leg Lateral Bounds,,,,,,power_drills_plyometrics,,,,stable,,,,,https://www.youtube.com/watch?v=gLAxy35htu8,,,Reps,"['body position: single leg standing', 'movement direction - plane: frontal', 'movement direction - axis: lateral']",accessory work; strength 1; plyometrics,1,0,1,2,1038,59fc9c8376abf2000f9efa18,#N/A,
,Single Leg Lateral Hops to Sprint,,,,,,power_drills_plyometrics,,,,stable,,,,,https://youtu.be/7SHP8UN_b_M,,,Meters,"['body position: single leg standing', 'movement direction - plane: frontal', 'movement direction - axis: lateral', 'basic_functional_movement: sprint', 'basic_functional_movement: jump']",sprint work,0,0,0,0,420,57e2fd3b4c6a031dc777e9de,#N/A,
,Single Leg Lateral Jump,,,,,,power_action_plyometrics,,,,,,,,,https://www.youtube.com/watch?v=V8uZ1qdsOQM,,,Reps; Meters,"['body position: single leg standing', 'movement direction - plane: frontal', 'movement direction - axis: lateral', 'basic_functional_movement: jump']",warm-up / movement prep; plyometrics,0,0,1,1,740,58b4437aaaf155000f8d0fb7,#N/A,
,Single Leg Lateral Jumps,,,,,,power_action_plyometrics,,,,,,,,,https://youtu.be/V8uZ1qdsOQM,,,,"['body position: single leg standing', 'movement direction - plane: frontal', 'movement direction - axis: lateral', 'basic_functional_movement: jump']",,0,0,0,0,1562,5c1d33a89eb3da000f11e0d7,#N/A,
,Single Leg Ninja Roll Up to Lunge Jump,,,,,,power_action_plyometrics,,,,,,,,,,,,,"['body position: single leg standing', 'basic_functional_movement: jump', 'basic_functional_movement: lunge']",,0,0,0,0,421,57e2fd3b4c6a031dc777e9df,#N/A,
,Single Leg Pallof Press,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/uh8sxnFKWAE,,,Reps,['body position: single leg standing'],accessory work 2; accessory work; accessory work 3; strength 3,1,0,0,1,1327,5b5c1fd41b4ba1000f5d39c6,Weight (Actual),
,Single Leg RDL,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=sIhtag-dB2w,,,,"['olympic_lift: romanian deadlift', 'body position: single leg standing']",,0,0,0,0,1432,5bc763712a30b5000fd355bd,#N/A,
,Single Leg Reverse Hyper,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=Rzvm82QuHHc,,,Reps,['body position: single leg standing'],strength,1,0,0,1,831,59335ee9d8d39b000f7146bf,Weight (Actual),
,Single Leg Richochet Jump,,,,,,power_action_plyometrics,,,,,,,,,https://www.youtube.com/watch?v=yB3Tk2QqQv8,,,Reps,"['body position: single leg standing', 'basic_functional_movement: jump']",agility drills; agility drill,0,0,0,0,1313,5b411b2c589acb000f30d073,#N/A,
,Single Leg Romanian Deadlift,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/Z-vj-mN3ecc?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,barbells,,Reps,"['olympic_lift: deadlift', 'olympic_lift: romanian deadlift', 'body position: single leg standing']",strength 1; mobility work; warm up/movement; strength work; warm-up/movement prep; trunk work; sky's out thighs out (accessory work); strength; warm up/movement prep; stamina; accessory work; strength 3; trunk work 2; skyâ€™s out thighs out (accessory work); skys out thighs out; strength prep; warm-up; sky's out thighs out; strength 2; warm-up / movement prep; accessory work 1; warm up,1,1,0,2,29,57e2fd3a4c6a031dc777e83a,Weight (Actual),
,Single Leg Romanian Deadlift w/ Upper Body Reach,,,,,,,,,,,,,,,https://youtu.be/u2CvcoByUSw,,,Reps,"['olympic_lift: deadlift', 'olympic_lift: romanian deadlift', 'body position: single leg standing']",warm-up/movement prep; warm-up / movement prep; recovery protocol; accessory work,0,0,0,0,1765,5cac3f43cc3ad8000f1ccca9,Weight (Actual),
,Single Leg Rotational KB RDL,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=1NlsDtB6GRQ,kettlebells,,Reps,"['olympic_lift: romanian deadlift', 'equipment: kettlebells', 'body position: single leg standing', 'movement direction - plane: transverse', 'movement direction - axis: rotational']",accessory work,0,0,0,0,1167,5a98392e16557e000f382048,Weight (Actual),
,Single Leg Squat Hold,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=LlJfi9Nc-7Q,,,Time,"['body position: single leg standing', 'basic_functional_movement: squat']",balance drills; balance drill,0,0,0,0,1310,5b411983589acb000f30d034,#N/A,
,Single Leg Squat Off Box,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=zpaGOtjTfeA,,,Reps,"['body position: single leg standing', 'basic_functional_movement: squat']",warm-up/movement prep; accessory work; strength 3; weapons development; strength 2; recovery protocol,1,0,0,1,1041,59fcb88c76abf2000f9efdaa,Weight (Actual),
,Single Leg Strict Toes to Bar,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=uMPen9rKvNc,,,Reps,['body position: single leg standing'],accessory work; strength 1,1,0,0,1,880,596b9499fd7558000f7d5b0d,#N/A,
,Single Leg T Hold,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=8wy-hy5165k,,,Time,['body position: single leg standing'],balance drills,0,0,0,0,1311,5b4117f08e19da000f05f27b,#N/A,
,Single Leg T-Hold,,,,,,,,,,,,,,,https://youtu.be/fawEDVnux4E,,,,['body position: single leg standing'],,0,0,0,0,1319,5b52739966015e000f11795a,#N/A,
,Single Leg Vertical Jump,,,,,,power_action_plyometrics,,,,,,,,,https://www.youtube.com/watch?v=vckGKcP4IlU,,,Reps; Seconds,"['basic_exercise: vertical jumps', 'body position: single leg standing', 'movement direction - axis: vertical', 'basic_functional_movement: jump']",warm-up/movement prep; strength 1; plyometrics; strength 2; warm up / movement prep; warm-up / movement prep,1,0,1,2,1100,5a4bc8eb5a0778000fd65a57,#N/A,
,Single Leg Wall Romanian Deadlift,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/XS_pTa2OQyE,,,Reps,"['olympic_lift: deadlift', 'olympic_lift: romanian deadlift', 'body position: single leg standing']",strength; strength 2,1,0,0,1,1510,5bf21db48a838c000f9319a2,Weight (Actual),
,Single Leg Wall Romanian Deadlift,,,,,,,,,,,,,,,https://youtu.be/IEan8sBDN6U?t=1,,,,"['olympic_lift: deadlift', 'olympic_lift: romanian deadlift', 'body position: single leg standing']",,0,0,0,0,1613,5c40ecacdafb11000fb783e1,#N/A,
,Single Leg Wall Sit,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=l6fD8dkbOIg,,,Seconds,['body position: single leg standing'],strength 3,1,0,0,1,1280,5af9bd623eac7a000f713448,#N/A,
,Single Leg Weighted Hip Bridge,,,,,,strength_endurance,,,,,,,,,,,bridge,,['body position: single leg standing'],,0,0,0,0,422,57e2fd3b4c6a031dc777e9e0,#N/A,
,Single Leg Zig Zag Bounds,,,,,,,,,,,,,,,,,,,['body position: single leg standing'],,0,0,0,0,423,57e2fd3b4c6a031dc777e9e1,#N/A,
,Sink Mobilization,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=hPnhYKZU_W0,,,Time,[],mobility work; movement flow; neuro adaptation,0,0,0,0,1057,5a050d3421a0de000fc952d1,#N/A,
,Sissors,,,,,,,,,,,,,,,https://youtu.be/qTSu34bGLOA?list=PLcmMqvLg9VgsWWKUBhJLIncHXSe0JzJsJ,,,,[],,0,0,0,0,867,59633c846bdcf5000f76d74b,#N/A,
,Sit & Reach,,,,,,flexibility,,,,,,,,,https://www.youtube.com/watch?v=-Urg0Ymha34,,,Seconds,[],recovery protocol; mobility (internal bs); mobility,0,0,0,0,466,582364be473c06100052ed8e,#N/A,
,Sit Through,,,,,,,,,,,,,,,https://youtu.be/k4oUygWz6DQ,,,Seconds; Reps; Minutes,[],stamina 3; warm-up/movement prep; strength 3; stamina 1; stamina; stamina 2,1,1,0,2,1707,5c75eeec25e0a60012977e31,#N/A,
,Sit-up,,,,,,strength_endurance,,,,,,,,,https://youtu.be/irLY696jjcI?list=PLcmMqvLg9VgsWWKUBhJLIncHXSe0JzJsJ,,,Reps; Minutes; Time; Seconds,[],run/pt; double pst; mix modal; weight circuit; strength 5; assisted work; stamina 3; strength work; warm-up/movement prep; movement prep; soflete rx'd; soflete performance; mixed modal; strength 6; pst prep; stamina 1; soflete fitness; strength; reverse pyramid; stamina; accessory work; recovery; bud/s pst; devils quarter mile; soflete rx'd/performance; sand-baby murph; modified murph; dynamic warm-up; soflete performance/fitness; warm-up; baby murph; warm-up / movement prep; buds pst; assistance work; stamina 2,1,1,0,2,99,57e2fd3a4c6a031dc777e887,Weight (Actual),
,Skater Jump,,,,,,power_action_plyometrics,,,,,,,,,https://www.youtube.com/watch?v=GASFfpVpEu0,,,Reps; Time; Seconds,['basic_functional_movement: jump'],warm-up/movement prep; run development day; accessory work; strength 3; plyometrics; sports specific day warm-up; warm-up; strength 2; run development; sports specific warm-up; warm-up / movement prep; brick session; ssp day warm-up; skill development; stamina,1,1,1,3,771,58dfea9e92dd6d000f612f89,#N/A,
,Skater Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtube.com/watch?v=ZlA1lZmchtc,,,Reps,['basic_functional_movement: squat'],warm-up/movement prep; accessory work; prehab/dynamic warm up; warm-up; assisted work; neuro adaptation; mobility work; warm-up / movement prep; accessory work 1; movement primer,0,0,0,0,678,588a1ee765dcf3000f91245f,Weight (Actual),
,Ski Erg,,,201,,,strength_cardiorespiratory,ski_erg,,,stable,,,speed - low force,,https://www.youtube.com/watch?v=IvqnHWRhZg4,ski_erg,,Time; Calories; Meters; Feet,['equipment: skiErg'],conditioning 2; stamina; stamina option 3 - skierg,0,1,0,1,1102,5a4d2a085a0778000fd6a22e,Weight (Actual),
,Sky Reach from Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=F3m4ZWAzpRY,,,Reps; Minutes,['basic_functional_movement: squat'],recovery protocol; warm-up / movement prep; warm-up/movement prep,0,0,0,0,1649,5c5cfe266c2e26000f13a414,#N/A,
,Sled Drag,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/C4NJRHGvxEY?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,sled,,Miles; Reps; Meters; Feet,['equipment: sled'],stamina 3; conditioning 2; stamina option 1; strength 2; stamina 1; strength; stamina 2; stamina; strongman,1,1,0,2,208,57e2fd3a4c6a031dc777e8fc,Weight (Actual),
,Sled Drag ISO Row,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/xyd8nZzbpwI,,,Feet,"['equipment: sled', 'equipment: rower']",strength 2,1,0,0,1,1949,5d5de18a3980560012fbf34d,Weight (Actual),
,Sled Pull,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/f6Fy-oOTFs0,sled,,Time; Miles; Meters,['equipment: sled'],stamina; strongman,0,1,0,1,206,57e2fd3a4c6a031dc777e8fa,Weight (Actual),
,Sled Push,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/bTgLsvIo3ts?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,sled,,Distance; Seconds; Meters; Minutes; Feet; Yards; Reps; Time,['equipment: sled'],strength 1; strength and stamina; stamina 3; soflete rx'd; soflete performance; stamina 4; soflete fitness; stamina 1; strength; stamina; accessory work; cyclic work; strength 3; plyometrics; strongman; strength & stamina; stamina option 1; conditioning; strength 2; conditioning 1; sprint work; accessory work 1; stamina 2,1,1,1,3,205,57e2fd3a4c6a031dc777e8f9,Weight (Actual),
,Sled Sprint,,,,,,power_drills_plyometrics,,,,stable,,,,,https://youtu.be/EP3epp731DU?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,,,Seconds; Meters; Minutes; Yards; Time,"['equipment: sled', 'basic_functional_movement: sprint']",accessory work 1; conditioning 1; strongwoman work; stamina,0,1,0,1,632,5880ffe5f8fcd2000f909036,Weight (Actual),
,Sled Walk,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/THh0FE9a_TI?t=15,sled,,Meters,"['equipment: sled', 'basic_functional_movement: step']",stamina; stamina 3,0,1,0,1,1665,5c5fbe106c2e26000f144454,Weight (Actual),
,Sledgehammer Strike,,,,,,,,,,,,,,,https://youtu.be/4vZkupoKFtg,,,Reps; Minutes; Time,[],stamina; strength 1; strength; trunk work,1,1,0,2,202,57e2fd3a4c6a031dc777e8f6,#N/A,
,Slide Board Push Ups,,,,,,strength_integrated_resistance,,,,,,,,,,,,,['basic_exercise: push-ups'],,0,0,0,0,424,57e2fd3b4c6a031dc777e9e3,#N/A,
,Slight Decline Dumbbell Press,,,,,,strength_integrated_resistance,,,,,,,,,,dumbbells,,Reps,['equipment: dumbbells'],suns out guns out; strength 1; sunâ€™s out guns out (accessory work),1,0,0,1,425,57e2fd3b4c6a031dc777e9e4,Weight (Actual),
,Slight Incline Dumbbell Press,,,,,,strength_integrated_resistance,,,,,,,,,,dumbbells,,Reps,['equipment: dumbbells'],strength 3; suns out guns out; strength 2; sunâ€™s out guns out (accessory work),1,0,0,1,426,57e2fd3b4c6a031dc777e9e5,Weight (Actual),
,Slosh Pipe Overhead Lunge,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/DzIxDjqs6AE,,,Reps,['basic_functional_movement: lunge'],stamina,0,1,0,1,1827,5ce5c5e460e5d3000f233d4e,Weight (Actual),
,Slosh Pipe Run,,,,,,,,,,,,,,,https://youtu.be/eDVAjwHLtKQ,,,Meters,"['equipment: running', 'basic_functional_movement: run']",stamina,0,1,0,1,1818,5ce46aa2fce1150012500059,Weight (Actual),
,Slow Snatch,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/Y6STqmQ1bqQ,,,Reps,['olympic_lift: snatch'],movement primer,0,0,0,0,1231,5ac6b09a16557e000f3de316,Weight (Actual),
,Snatch,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=BqWYvGDIRwE,,,Reps,['olympic_lift: snatch'],warm-up / movement primer; strength 1; bonus work; movement primer; stamina 3; warm-up/movement prep; soflete rx'd; soflete performance; weightlifting 1; soflete fitness; strength primer; snatch technique work; strength; stamina; weightlifting; strength 3; weightlifting 2; conditioning; warm-up; strength 2; conditioning 1; warm-up / movement prep; weightlifting 3; stamina 2,1,1,0,2,23,57e2fd3a4c6a031dc777e834,Weight (1RM),
,Snatch Balance,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=D5BUtMk0INY,,,Reps,['olympic_lift: snatch'],warm-up/movement prep; weightlifting 2; warm-up / movement primer; strength 1; strength 3; warm-up; strength 2; strength primer; strength; neuro adaptation; warm-up / movement prep; weightlifting; movement primer,1,0,0,1,845,594d65e07ffe3b000fe5704b,Weight (Actual),
,Snatch Grip Barbell Row,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/_oquOMGpTF0,barbells,,Reps,"['olympic_lift: snatch', 'equipment: barbells', 'equipment: rower']",accessory work 2; powerlifting 2; strength 2,1,0,0,1,1694,5c6e40bf452189000f3704a3,Weight (Actual),
,Snatch Grip Deadlift,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=NMDPXmGJI88,,,Reps,"['olympic_lift: deadlift', 'olympic_lift: snatch']",warm-up/movement prep; strength 1; strength 3; warm-up; weightlifting 1; strength 2; strength; weightlifting 2; powerlifting 1; movement primer,1,0,0,1,427,57e2fd3b4c6a031dc777e9e6,Weight (4RM),
,Snatch Grip Power Jerk,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/5t8uxqx2xIg,,,,['olympic_lift: snatch'],,0,0,0,0,1518,5bf4685b8a838c000f93b89f,#N/A,
,Snatch Grip Press,,,,,,strength_integrated_resistance,,,,,,,,,,,,Reps,['olympic_lift: snatch'],warm-up / movement prep,0,0,0,0,15,57e2fd3a4c6a031dc777e82c,Weight (Actual),
,Snatch Grip Push Press,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=L100AVnh49A,,,Reps,"['olympic_lift: push press', 'olympic_lift: snatch']",weightlifting 1; strength 2; strength primer; weightlifting 2; mobility work; warm-up / movement prep; movement primer,1,0,0,1,428,57e2fd3b4c6a031dc777e9e7,Weight (Actual),
,Snatch Grip RDL,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=rvzELR_G3pk,,,Reps,"['olympic_lift: snatch', 'olympic_lift: romanian deadlift']",accessory work; strength 2; warm-up / movement prep,1,0,0,1,1021,59dfbcce0b81da000ff84914,Weight (Actual),
